28/04/2014 18:57:47:485 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 60.27764
28/04/2014 18:57:47:502 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 60.2862
28/04/2014 18:57:47:518 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 60.29374
28/04/2014 18:57:47:535 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 60.30052
28/04/2014 18:57:47:553 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.3068
28/04/2014 18:57:47:568 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.31228
28/04/2014 18:57:47:584 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.31721
28/04/2014 18:57:47:601 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.32165
28/04/2014 18:57:47:618 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.32582
28/04/2014 18:57:47:634 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.3294
28/04/2014 18:57:47:651 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.33279
28/04/2014 18:57:47:667 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.33584
28/04/2014 18:57:47:684 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.33825
28/04/2014 18:57:47:700 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.34059
28/04/2014 18:57:47:717 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.34286
28/04/2014 18:57:47:734 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.34457
28/04/2014 18:57:47:750 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.34645
28/04/2014 18:57:47:767 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.34814
28/04/2014 18:57:47:783 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.34949
28/04/2014 18:57:47:800 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35053
28/04/2014 18:57:47:816 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35199
28/04/2014 18:57:47:833 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35295
28/04/2014 18:57:47:850 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35382
